Index,Test 0,Test 1,Test 2,Test 3
1,1.5,5.423841,5.681063,5.730598
2,2,5.419142,5.679934,5.726467
3,2.25,5.414474,5.680464,5.723451
4,2.4,5.419672,5.684298,5.721547
5,2.666667,5.428104,5.686469,5.718543
6,3,5.436482,5.686985,5.717751
7,3.125,5.454545,5.685855,5.719163
8,3.111111,5.46602,5.688013,5.723872
9,3.2,5.477419,5.691803,5.727472
10,3.363636,5.48553,5.693944,5.729967
11,3.5,5.49359,5.694445,5.732456
12,3.538461,5.495208,5.694943,5.73494
13,3.642857,5.49363,5.693811,5.737418
14,3.8,5.488889,5.692683,5.740983
15,3.9375,5.477848,5.691558,5.742358
16,4,5.463722,5.690438,5.742639
17,4.222222,5.455975,5.689321,5.74183
18,4.473684,5.448276,5.684976,5.741023
19,4.7,5.4375,5.679032,5.738043
20,4.857143,5.429906,5.673108,5.733985
21,5,5.428571,5.670418,5.731019
22,5.043478,5.430341,5.672552,5.729144
23,5,5.438272,5.676282,5.728355
24,4.96,5.449231,5.6848,5.727568
25,4.923077,5.460123,5.693291,5.725702
26,4.925926,5.46789,5.701755,5.72384
27,4.928571,5.47561,5.710191,5.721983
28,4.896552,5.480243,5.713831,5.719053
29,4.866667,5.481818,5.71746,5.716129
30,4.870968,5.480362,5.719493,5.714286
31,4.9375,5.478916,5.719937,5.713519
32,5,5.480481,5.720379,5.714898
33,5.058824,5.48503,5.72082,5.716274
34,5.114286,5.486567,5.719685,5.717647
35,5.194445,5.488095,5.712264,5.719017
36,5.162162,5.486647,5.704866,5.71825
37,5.105263,5.488166,5.699059,5.716418
38,5.051282,5.489676,5.691706,5.715655
39,5,5.5,5.684375,5.714894
40,4.97561,5.510264,5.680187,5.713071
41,4.952381,5.520468,5.679128,5.712314
42,4.953488,5.527697,5.681182,5.711559
43,4.954545,5.534883,5.68323,5.710805
44,4.977778,5.53913,5.685271,5.711111
45,5,5.543353,5.685759,5.713531
46,5.021276,5.541787,5.686244,5.714889
47,5.0625,5.537356,5.686728,5.716245
48,5.081633,5.530086,5.68567,5.717597
49,5.1,5.52,5.687692,5.718947
50,5.117647,5.509972,5.689708,5.716088
51,5.115385,5.5,5.691718,5.713235
52,5.075472,5.490085,5.693721,5.711438
53,5,5.485876,5.695719,5.707547
54,4.963636,5.487324,5.696183,5.704712
55,4.928571,5.491573,5.696646,5.703975
56,4.894737,5.4986,5.697108,5.707419
57,4.87931,5.511173,5.693009,5.712944
58,4.864407,5.523677,5.688922,5.717414
59,4.866667,5.536111,5.687879,5.720833
60,4.868853,5.548476,5.686838,5.722165
61,4.870968,5.560773,5.687311,5.723493
62,4.888889,5.573003,5.689291,5.724818
63,4.875,5.576923,5.694277,5.726141
64,4.861538,5.580822,5.700752,5.725389
65,4.878788,5.579235,5.71021,5.722567
66,4.895523,5.572207,5.721139,5.717684
