Index,Test 0,Test 1,Test 2,Test 3,Test 4
1,1.5,5.350993,5.403655,5.568736,5.593178
2,2,5.356436,5.404644,5.569214,5.595179
3,2.5,5.358552,5.405629,5.56969,5.597176
4,2.6,5.360656,5.406611,5.570166,5.59834
5,2.666667,5.359477,5.407591,5.568433,5.600332
6,2.714286,5.355049,5.411861,5.566703,5.601491
7,2.75,5.344156,5.417763,5.564978,5.601821
8,2.777778,5.333333,5.422003,5.562156,5.60215
9,2.9,5.319355,5.426229,5.55934,5.602479
10,3.090909,5.305466,5.427168,5.556531,5.601982
11,3.25,5.291667,5.426471,5.554824,5.59901
12,3.461539,5.277955,5.422512,5.554217,5.596043
13,3.642857,5.2707,5.420196,5.552516,5.593904
14,3.666667,5.266667,5.414634,5.556284,5.592593
15,3.6875,5.265823,5.409091,5.562227,5.592105
16,3.764706,5.268139,5.403565,5.569248,5.590797
17,3.833333,5.27044,5.399676,5.577342,5.590312
18,3.894737,5.269592,5.399031,5.583243,5.592289
19,3.95,5.26875,5.4,5.58587,5.592623
20,4,5.271028,5.407407,5.586319,5.592957
21,4,5.273292,5.414791,5.586768,5.594108
22,4,5.278638,5.420546,5.585049,5.596075
23,3.958333,5.277778,5.426282,5.583333,5.599673
24,3.96,5.28,5.4288,5.57946,5.604082
25,3.961539,5.279141,5.429712,5.575594,5.608483
26,3.962963,5.275229,5.429027,5.571737,5.610432
27,3.964286,5.271341,5.429936,5.570043,5.609935
28,4,5.267477,5.429253,5.570506,5.608625
29,4,5.266667,5.430159,5.576344,5.607317
30,4.064516,5.268882,5.429477,5.58217,5.606011
31,4.125,5.274096,5.427215,5.58691,5.604708
32,4.151515,5.276276,5.420221,5.589496,5.603406
33,4.176471,5.269461,5.414826,5.592077,5.602917
34,4.228571,5.262687,5.411024,5.593583,5.602429
35,4.277778,5.252976,5.410378,5.592949,5.601942
36,4.27027,5.249258,5.411303,5.592316,5.603072
37,4.263158,5.248521,5.410658,5.590618,5.605008
38,4.230769,5.247787,5.411581,5.586794,5.607748
39,4.175,5.247059,5.4125,5.582979,5.609677
40,4.146341,5.2522,5.414977,5.578108,5.609992
41,4.119048,5.254386,5.417446,5.575372,5.609501
42,4.116279,5.25656,5.419907,5.575822,5.608206
43,4.136364,5.264535,5.423913,5.577331,5.607717
44,4.2,5.272464,5.426357,5.580952,5.608032
45,4.326087,5.277457,5.425696,5.585624,5.605939
46,4.468085,5.282421,5.42813,5.592397,5.604651
47,4.604167,5.281609,5.429012,5.599156,5.602564
48,4.653061,5.280802,5.429892,5.603794,5.600481
49,4.68,5.277143,5.430769,5.608421,5.5992
50,4.705883,5.273504,5.428571,5.613039,5.598721
51,4.711538,5.269886,5.424847,5.617647,5.599041
52,4.698113,5.263456,5.41807,5.621196,5.598564
53,4.666667,5.262712,5.409786,5.62369,5.601276
54,4.636364,5.259155,5.401527,5.625131,5.603187
55,4.607143,5.261236,5.393293,5.624477,5.605892
56,4.561403,5.268908,5.388128,5.623825,5.607796
57,4.517241,5.284916,5.386018,5.622129,5.609698
58,4.491526,5.303621,5.38695,5.621481,5.611597
59,4.466667,5.322222,5.390909,5.621875,5.611905
60,4.459016,5.33518,5.397882,5.622269,5.612213
61,4.451613,5.345304,5.406344,5.623701,5.611727
62,4.460318,5.355372,5.41629,5.62513,5.610451
63,4.484375,5.362638,5.423193,5.627594,5.609177
64,4.538462,5.367123,5.427068,5.630052,5.608696
65,4.621212,5.36612,5.42943,5.632505,5.608215
66,4.686567,5.362398,5.430285,5.634953,5.607735
